id,image,kind,name
324,,조미료 및 향신료,스파게티소스
325,,기타,표고버섯가루
326,,육류,돼지고기 안심
327,,조미료 및 향신료,미원
328,,절임 및 장아찌,열무김치
329,,조미료 및 향신료,현미유
330,,육류,돼지고기 등심
331,,기타,에스프레소
332,,기타,양파즙
333,,조미료 및 향신료,고추냉이
334,,채소,두릅
335,,곡물,오트밀
336,,채소,베트남고추
337,,콩류 및 견과류,완두콩
338,,조미료 및 향신료,미향
339,,조미료 및 향신료,바닐라오일
340,,채소,세발나물
341,,채소,은행
342,,콩류 및 견과류,해바라기씨
343,,해산물 및 해조류,코다리
344,,기타,냉면육수
345,,조미료 및 향신료,파프리카가루
346,,조미료 및 향신료,피쉬소스
347,,해산물 및 해조류,매생이
348,,육류,돈까스
349,,기타,분유
350,,조미료 및 향신료,레드와인
351,,기타,두유
352,,기타,면수
353,,기타,쌈무
354,,기타,녹차가루
355,,과일,복숭아
356,,조미료 및 향신료,춘장
357,,해산물 및 해조류,파래
358,,기타,쫄면
359,,기타,젤라틴
360,,육류,돼지등뼈
361,,조미료 및 향신료,해바라기유
362,,콩류 및 견과류,호박씨
363,,조미료 및 향신료,정종
364,,육류,목살
365,,콩류 및 견과류,연두부
366,,기타,새우가루
367,,과일,수박
368,,절임 및 장아찌,무말랭이
369,,채소,더덕
370,,콩류 및 견과류,검은콩
371,,육류,소갈비
372,,조미료 및 향신료,고수
373,,조미료 및 향신료,바질페스토
374,,채소,죽순
375,,유제품,스트링치즈
376,,채소,돌나물
377,,콩류 및 견과류,흑임자
378,,해산물 및 해조류,문어
379,,과일,참외
380,,조미료 및 향신료,조미료
381,,조미료 및 향신료,홍초
382,,채소,무청
383,,채소,쌈채소
384,,해산물 및 해조류,동태
385,,조미료 및 향신료,사과즙
386,,기타,곤약
387,,조미료 및 향신료,뉴슈가
388,,조미료 및 향신료,짜장가루
389,,육류,김밥용 햄
390,,채소,고구마줄기
391,,해산물 및 해조류,대하
392,,육류,돼지목살
393,,유제품,플레인요구르트
394,,조미료 및 향신료,코코넛오일
395,,조미료 및 향신료,피클링스파이스
396,,채소,수삼
397,,조미료 및 향신료,스리라차소스
398,,육류,치킨
399,,조미료 및 향신료,양념장
400,,채소,루꼴라
401,,채소,로메인
402,,육류,통삼겹살
403,,채소,적채
404,,해산물 및 해조류,톳
405,,조미료 및 향신료,럼주
406,,기타,짜장라면
407,,기타,빵
408,,기타,메밀면
409,,조미료 및 향신료,강황가루
410,,채소,노각
