Index,Ingredient,Category
630,오렌지주스,기타
631,김밥,기타
632,도토리가루,기타
633,소스,조미료 및 향신료
634,다진고기,육류
635,지리멸치,해산물 및 해조류
636,당근라페,기타
637,닭발,육류
638,항정살,육류
639,치킨너겟,육류
640,백김치,절임 및 장아찌
641,호밀빵,기타
642,그래놀라,기타
643,섬초,채소
644,비지,콩류 및 견과류
645,생땅콩,콩류 및 견과류
646,분당,조미료 및 향신료
647,렌틸콩,콩류 및 견과류
648,사과잼,기타
649,볶음김치,절임 및 장아찌
650,감태,해산물 및 해조류
651,브리치즈,유제품
652,다싯물,조미료 및 향신료
653,콜리플라워,채소
654,돼지 앞다리살,육류
655,동치미 무,절임 및 장아찌
656,돼지고기 뒷다리살,육류
657,소라,해산물 및 해조류
658,명이나물,채소
659,비빔면,기타
660,토란,채소
661,고기느타리버섯,채소
662,당귀,채소
663,참소스,조미료 및 향신료
664,방울양배추,채소
665,닭똥집,육류
666,귀리,곡물
667,수수,곡물
668,오미자청,조미료 및 향신료
669,마라소스,조미료 및 향신료
670,치아씨드,콩류 및 견과류
671,중화면,기타
672,고춧씨,채소
673,총각무,채소
674,날콩가루,기타
675,파래김,기타
676,마카다미아,콩류 및 견과류
677,돼지고기 불고기용,육류
678,쫄면사리,기타
679,미트볼,육류
680,쌍화탕,기타
681,크레미,해산물 및 해조류
682,통식빵,기타
683,떡볶이,기타
684,쌀국수면,기타
685,콩국물,기타
686,아귀,해산물 및 해조류
687,생면,기타
688,나물,채소
689,우럭,해산물 및 해조류
690,무생채,채소
691,오만둥이,해산물 및 해조류
692,낫또,기타
693,통밀식빵,기타
694,꽁치,해산물 및 해조류
695,천연가루,기타
696,치킨텐더,육류
697,슈레드치즈,유제품
698,냉면,기타
699,갈비,육류
700,건과일,과일
701,호박고지,채소
702,아마씨,콩류 및 견과류
703,깔루아,기타
704,국수면,기타
705,석류,과일
706,펜네,기타
707,병어,해산물 및 해조류
708,엄나무,채소
709,곰취,채소
710,꼬시래기,해산물 및 해조류
711,갈치속젓,절임 및 장아찌
712,타르타르소스,조미료 및 향신료
713,고다치즈,유제품
714,고추장아찌,절임 및 장아찌
715,배음료,기타
716,트러플오일,조미료 및 향신료
717,전어,해산물 및 해조류
718,백만송이버섯,채소
719,햄프씨드,콩류 및 견과류
720,산초가루,조미료 및 향신료
721,명엽채,채소
722,엄나무순,채소
723,춘권피,기타
724,곤드레나물,채소
725,단촛물,기타
726,장조림,기타
727,광어,기타
728,완두배기,기타
729,백태,콩류 및 견과류
730,호밀가루,기타
731,멸치볶음,기타
732,고르곤졸라치즈,유제품
733,공심채,채소
734,과메기,해산물 및 해조류
735,참타리버섯,채소
736,밴댕이,해산물 및 해조류
737,메주콩,콩류 및 견과류
738,수제비,기타
739,홍갓,채소
740,사과청,조미료 및 향신료
741,백합,채소
742,청귤,과일
743,마늘즙,기타
744,마시멜로,기타
745,한라봉,과일
746,함초소금,조미료 및 향신료
747,생선,해산물 및 해조류
748,후르츠칵테일,기타
749,도루묵,해산물 및 해조류
750,통들깨,콩류 및 견과류
751,머쉬마루 버섯,채소
752,미니양배추,채소
