ingredient_id,recipe_id
38,7023242
111,7023242
183,7023242
1,6977603
2,6977603
3,6977603
4,6977603
5,6977603
7,6977603
8,6977603
9,6977603
10,6977603
13,6977603
16,6977603
18,6977603
19,6977603
106,6977603
1,6873313
9,6873313
10,6873313
13,6873313
17,6873313
33,6873313
55,6873313
55,6873313
64,6873313
97,6873313
625,6873313
1,6905091
2,6905091
3,6905091
5,6905091
7,6905091
10,6905091
12,6905091
43,6905091
1,7002255
2,7002255
6,7002255
7,7002255
17,7002255
20,7002255
24,7002255
109,7002255
165,7002255
1,6884472
2,6884472
11,6884472
27,6884472
101,6884472
188,6884472
1,6950064
4,6950064
7,6950064
12,6950064
14,6950064
23,6950064
31,6950064
56,6950064
1,6891346
4,6891346
5,6891346
9,6891346
10,6891346
13,6891346
48,6891346
61,6891346
1,6829101
5,6829101
10,6829101
13,6829101
16,6829101
19,6829101
27,6829101
58,6829101
162,6829101
63,6887898
75,6887898
98,6887898
215,6887898
8,7024457
21,7024457
26,7024457
37,7024457
44,7024457
63,7024457
75,7024457
79,7024457
98,7024457
120,7024457
189,7024457
397,7024457
1,6877917
4,6877917
26,6877917
73,6877917
74,6877917
98,6877917
101,6877917
115,6877917
188,6877917
203,6877917
1,6999510
2,6999510
3,6999510
6,6999510
12,6999510
16,6999510
17,6999510
18,6999510
41,6999510
1,4955460
5,4955460
6,4955460
7,4955460
10,4955460
19,4955460
193,4955460
1,6859443
3,6859443
5,6859443
9,6859443
10,6859443
16,6859443
48,6859443
61,6859443
69,6859443
124,6859443
130,6859443
1,6905635
2,6905635
4,6905635
11,6905635
17,6905635
68,6905635
108,6905635
115,6905635
121,6905635
706,6905635
4,6993877
5,6993877
16,6993877
28,6993877
35,6993877
47,6993877
68,6993877
69,6993877
99,6993877
1,7011733
2,7011733
3,7011733
7,7011733
15,7011733
31,7011733
152,7011733
1,6853248
3,6853248
5,6853248
6,6853248
7,6853248
16,6853248
23,6853248
38,6853248
40,6853248
43,6853248
65,6853248
104,6853248
199,6853248
3,7001213
5,7001213
6,7001213
13,7001213
18,7001213
97,7001213
2,6989335
3,6989335
4,6989335
13,6989335
28,6989335
37,6989335
63,6989335
120,6989335
381,6989335
1,1668806
10,1668806
18,1668806
19,1668806
20,1668806
36,1668806
41,1668806
64,1668806
1,6976753
5,6976753
6,6976753
7,6976753
9,6976753
12,6976753
